Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,
2000,67,66,4,15,2,4,4,8,29,43,1,4,1,2,2,2,31,465
2001,78,75,2,11,1,11,13,3,34,80,3,7,2,3,7,3,55,553
2002,110,53,3,11,4,8,4,1,22,57,1,4,2,3,4,2,41,531
2003,140,56,8,8,3,1,4,5,27,84,5,13,1,0,7,1,57,544
2004,150,85,3,23,3,4,6,9,37,65,1,3,0,2,8,3,48,544
2005,168,78,4,19,1,6,10,4,34,90,4,5,2,2,3,5,69,539
2006,209,106,6,18,8,9,11,1,53,103,4,9,2,3,6,0,79,602
2007,207,91,6,24,3,6,6,4,42,116,5,10,2,5,3,2,89,640
2008,195,89,5,22,2,10,9,9,32,106,3,8,,3,7,2,83,688
2009,221,110,15,27,7,8,8,8,37,111,6,3,2,6,3,5,86,730
2010,275,113,3,32,4,17,5,7,45,162,9,13,4,5,4,10,117,942
2011,243,107,3,28,,6,7,15,48,136,4,15,3,5,1,5,103,806
2012,199,83,3,17,6,11,5,5,36,116,5,9,5,4,3,8,82,794
2013,209,104,4,19,3,9,4,7,58,105,2,8,4,3,5,1,82,809
2014,275,129,5,25,5,14,10,10,60,146,5,12,3,5,2,6,113,870
2015,263,116,3,29,7,16,6,11,44,147,3,12,2,5,12,6,107,873
2016,310,136,10,20,6,16,4,13,67,174,4,13,5,8,6,4,134,976
2017,260,118,10,22,1,11,5,11,58,142,4,10,4,5,2,11,106,1044
2018,316,146,8,28,11,10,4,16,69,170,6,12,9,4,6,7,126,1111
2019,260,113,5,23,5,9,5,8,58,147,3,11,6,3,5,6,113,1160
2020,236,103,8,16,5,9,4,5,56,133,5,10,7,4,3,9,95,1207
2021,273,114,10,31,4,8,4,10,47,159,7,9,1,6,6,5,125,1253
