Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,1653,755,37,97,12,182,161,40,226,898,12,75,26,45,190,43,507,6650
1991,1690,781,31,109,26,160,151,42,262,909,6,78,26,32,177,48,542,6815
1992,1516,729,25,117,26,180,98,24,259,787,13,91,28,43,152,27,433,6603
1993,1326,603,36,89,19,115,102,26,216,724,10,61,24,30,142,21,436,6463
1994,1292,602,24,99,20,118,92,33,216,690,10,65,22,28,123,28,414,6028
1995,1296,565,29,74,26,132,98,35,171,731,10,67,31,37,137,27,422,5837
1996,1290,563,27,73,16,116,105,21,205,727,6,59,30,34,135,14,449,5678
1997,1387,622,20,94,26,144,79,34,225,765,5,77,27,37,134,23,462,5624
1998,1421,601,32,83,18,112,89,23,244,820,8,76,39,39,126,28,504,5737
1999,1347,626,22,90,25,105,100,18,266,721,19,56,42,27,98,27,452,5716
2000,555,544,23,79,17,92,65,29,239,753,11,59,31,30,87,28,507,5658
2001,610,604,30,79,32,103,60,36,264,728,6,61,26,19,74,19,523,5872
2002,1174,482,18,64,18,115,49,19,199,692,19,54,44,23,74,16,462,5754
2003,1106,439,13,49,16,83,52,24,202,667,9,62,31,23,65,22,455,5465
2004,967,415,12,65,17,92,41,9,179,552,5,34,36,20,47,8,402,4841
2005,1263,445,22,63,16,66,61,18,199,818,12,54,33,15,70,33,601,4841
2006,1180,463,23,67,21,72,48,27,205,717,13,64,30,15,75,17,503,5190
2007,1026,397,23,63,15,67,40,12,177,629,8,52,24,12,65,16,452,5151
2008,958,373,10,63,11,63,40,15,171,585,3,42,25,15,45,12,443,5001
2009,1085,435,24,77,18,74,53,17,172,650,4,25,20,18,68,20,495,5036
2010,1040,394,22,74,17,56,36,25,164,646,8,33,24,19,57,19,486,4819
2011,1034,411,13,65,20,68,40,15,190,623,10,30,20,11,69,21,462,4943
2012,1087,442,21,65,25,70,54,4,196,645,9,48,18,22,39,23,486,5199
2013,1067,383,16,69,15,64,30,18,171,684,12,40,27,20,45,19,521,5390
2014,1090,425,15,68,13,62,39,14,214,665,11,34,26,25,69,28,472,5580
2015,1102,445,19,73,20,53,49,21,210,657,5,32,33,21,73,17,476,5693
2016,1051,402,17,54,21,75,48,12,175,649,17,40,28,31,64,14,455,5707
2017,1086,436,19,57,21,71,41,22,205,650,4,43,23,23,70,33,454,5838
2018,1093,447,17,71,20,74,39,25,201,646,13,45,22,22,61,27,456,5992
2019,1092,431,7,47,21,53,46,18,239,661,10,39,21,34,50,22,485,6115
2020,1041,433,14,78,17,64,27,38,370,608,6,32,27,18,41,16,468,6168
2021,1133,449,12,74,16,54,44,24,225,684,10,35,26,33,73,32,475,6342
