Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,1430,724,46,120,26,192,84,33,223,706,18,77,19,36,181,23,352,5994
1991,1398,736,27,124,20,192,106,31,236,662,6,73,31,33,115,30,374,6150
1992,1352,709,38,102,24,176,79,37,253,643,10,83,28,23,101,32,366,5600
1993,1215,616,35,98,20,152,63,23,225,599,12,58,19,30,101,34,345,5430
1994,1034,580,47,105,13,126,75,30,184,454,9,32,9,19,79,17,289,5122
1995,1141,591,35,127,16,129,78,28,178,550,11,57,18,29,76,27,332,4942
1996,1072,545,24,81,22,137,74,19,188,527,6,44,17,19,105,16,320,4887
1997,1119,554,38,86,17,124,73,20,196,565,10,50,19,28,82,17,359,4868
1998,1202,581,35,106,16,114,69,23,218,621,15,57,22,20,83,29,395,4968
1999,1159,583,42,82,18,139,60,25,217,576,14,60,27,24,96,19,336,5037
2000,572,560,32,108,25,99,59,21,216,566,12,50,25,19,56,19,385,5245
2001,528,516,31,89,26,113,43,14,200,488,12,37,13,29,48,21,328,5204
2002,983,425,25,80,22,96,37,15,150,558,8,40,23,26,46,10,405,5283
2003,953,472,19,68,16,94,49,23,203,481,4,38,13,18,29,8,371,5275
2004,911,414,25,60,18,84,38,10,179,497,8,38,27,12,47,11,354,5258
2005,966,406,19,76,15,75,35,13,173,560,10,47,28,18,34,12,411,5259
2006,868,370,22,57,22,81,25,16,147,498,6,36,23,9,26,9,389,5095
2007,891,392,24,77,15,68,22,13,173,499,9,38,15,15,30,8,380,5150
2008,917,373,31,74,16,64,21,14,153,544,9,40,20,15,55,17,388,5172
2009,1006,444,35,74,12,86,37,12,188,562,11,34,16,15,33,10,443,5343
2010,924,385,28,64,16,76,31,18,152,539,15,33,11,22,43,15,400,5451
2011,943,435,27,80,18,72,40,13,185,508,10,34,21,10,23,16,394,5717
2012,969,414,23,54,16,89,25,21,186,555,7,44,14,16,34,14,426,5821
2013,974,410,22,54,31,93,23,15,172,564,9,48,15,19,26,11,436,5864
2014,1181,510,32,71,21,100,37,24,225,671,17,46,18,19,47,18,506,5932
2015,1149,491,31,62,19,89,46,33,211,658,20,57,17,20,50,21,473,6098
2016,1127,506,31,87,17,102,38,22,209,621,10,34,20,27,40,27,463,6098
2017,1168,533,26,89,18,86,46,33,235,635,23,34,15,31,41,22,469,6340
2018,1225,562,23,102,19,104,50,27,237,663,12,47,10,31,41,41,481,6396
2019,1154,554,25,97,18,85,37,27,265,600,13,43,21,25,55,24,419,6527
2020,1101,523,29,90,22,86,34,19,243,578,9,35,15,27,37,36,419,6661
2021,1239,569,19,108,22,100,37,26,257,670,7,42,22,31,48,33,487,6832
