Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,461,215,20,51,2,43,10,12,77,246,2,28,11,15,22,13,155,2116
1991,488,269,15,58,4,58,6,16,112,219,3,23,5,11,24,4,149,2137
1992,461,258,13,58,7,59,15,18,88,203,2,31,3,8,26,5,128,2133
1993,448,230,16,62,9,41,12,9,81,218,5,27,3,8,18,4,153,2035
1994,356,167,7,48,6,26,10,8,62,189,8,18,3,6,18,5,131,2035
1995,361,185,7,42,6,29,17,12,72,176,4,15,3,5,19,6,124,1716
1996,361,180,11,32,6,29,14,10,78,181,6,25,5,7,18,7,113,1648
1997,328,172,8,37,12,26,12,11,66,156,1,10,6,7,17,9,106,1575
1998,502,262,20,60,11,42,29,11,89,240,6,18,6,8,26,9,167,1687
1999,444,211,13,37,7,27,19,10,98,233,2,23,3,11,29,10,155,1774
2000,374,176,7,48,2,35,12,6,66,198,2,27,2,9,18,3,137,1835
2001,392,189,4,50,7,37,12,7,72,203,2,22,7,12,10,3,147,1919
2002,385,181,5,44,2,36,11,9,74,204,6,16,1,10,15,4,152,1941
2003,488,229,15,55,9,33,17,6,94,259,8,25,9,12,19,7,179,2070
2004,392,178,11,39,7,36,13,6,66,214,4,22,7,8,16,5,152,2022
2005,360,165,8,37,3,28,12,7,70,195,3,24,5,7,10,6,140,2022
2006,452,219,7,53,8,46,12,9,84,233,2,17,4,6,8,12,184,2148
2007,400,163,9,43,8,24,16,7,56,237,4,24,4,6,16,5,178,2212
2008,405,189,7,43,6,21,12,6,94,216,7,15,6,9,12,5,162,2246
2009,503,230,7,52,4,41,7,8,111,273,4,26,6,4,10,10,213,2346
2010,388,177,11,42,5,24,8,10,77,211,2,20,3,8,15,3,160,2436
2011,546,236,14,58,4,40,11,8,101,310,3,26,15,14,14,6,232,2440
2012,533,259,9,67,10,32,12,9,120,274,6,15,10,7,10,4,222,2583
2013,632,287,12,73,10,39,9,13,131,345,7,31,8,10,21,5,263,2453
2014,571,257,13,70,8,44,15,9,98,314,6,27,10,12,17,10,232,2548
2015,504,231,5,61,6,31,12,13,103,273,5,23,8,9,16,9,203,2604
2016,506,235,12,55,12,33,10,18,95,271,5,21,8,9,15,6,207,2632
2017,527,245,7,53,13,33,16,12,111,282,2,24,9,14,13,20,200,2684
2018,516,245,10,60,6,24,7,22,116,271,4,18,4,7,20,9,209,2751
2019,476,223,9,47,8,30,9,13,107,253,2,27,7,12,12,6,187,2856
2020,501,239,10,56,5,39,10,12,130,262,1,26,11,8,12,9,195,2970
2021,468,232,8,52,6,42,1,13,110,236,5,19,9,11,10,9,173,2984
