Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,,,,,,,,,,,,,,,,,,
1991,447,253,8,54,4,47,20,27,93,194,5,28,4,11,15,12,119,1678
1992,464,275,14,74,7,55,17,15,93,189,4,22,10,6,9,10,128,1589
1993,478,253,12,63,6,31,18,22,101,225,6,24,4,12,17,9,153,1541
1994,376,183,10,41,6,40,7,12,67,193,1,21,4,9,11,10,137,1457
1995,403,202,6,48,5,37,17,11,78,201,4,26,6,13,13,13,126,1436
1996,416,244,11,55,3,51,11,18,95,172,7,27,2,9,5,4,118,1396
1997,499,251,8,64,7,54,16,6,96,248,8,29,7,32,16,6,150,1494
1998,519,241,8,70,7,55,11,11,79,278,4,50,11,25,12,14,162,1610
1999,524,293,16,65,11,53,41,16,91,231,5,32,1,24,26,4,139,1671
2000,288,280,11,58,8,51,32,9,111,263,8,23,2,28,36,10,156,1740
2001,386,379,12,85,11,99,11,21,140,376,7,49,10,74,11,13,212,2078
2002,654,327,2,72,6,101,14,12,120,327,7,38,7,53,11,14,197,2145
2003,662,320,5,78,7,97,11,14,108,342,3,28,9,75,9,13,205,2364
2004,639,285,4,74,5,53,22,18,109,354,7,32,11,49,10,14,231,2679
2005,592,271,2,56,10,68,10,10,115,321,2,32,7,38,8,10,224,2679
2006,574,285,8,78,9,64,7,12,107,289,3,24,4,20,5,8,225,2495
2007,581,246,6,68,8,36,7,8,113,335,7,39,8,23,12,9,237,2525
2008,551,232,5,63,8,39,11,11,95,319,4,28,6,20,10,12,239,2288
2009,670,291,13,72,7,55,19,16,109,379,8,29,8,36,13,7,278,2220
2010,689,296,7,68,8,47,16,10,140,393,7,17,9,25,15,10,310,2286
2011,659,301,12,66,10,57,17,15,124,358,9,22,2,18,9,12,286,2282
2012,714,272,11,51,15,41,9,11,134,442,9,41,12,14,10,10,346,2337
2013,630,283,15,66,8,42,11,22,119,347,6,33,7,28,4,9,260,2305
2014,731,307,19,72,7,49,19,7,134,424,24,42,7,22,8,4,317,2171
2015,712,320,16,62,11,32,13,17,169,392,12,26,6,20,7,13,308,2103
2016,744,329,13,83,12,47,16,18,140,415,15,30,8,22,14,18,308,2162
2017,778,347,12,84,12,43,12,14,170,431,5,36,7,16,11,22,334,2299
2018,765,307,14,60,11,50,13,20,139,458,6,35,12,19,13,21,352,2438
2019,769,322,15,55,10,42,11,26,163,447,16,26,12,18,8,26,341,2526
2020,708,308,9,60,7,37,11,24,160,400,9,27,12,16,8,28,300,2633
2021,784,376,14,87,23,46,7,26,173,408,9,31,5,17,8,13,325,2893
