Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,166,68,6,16,0,12,1,9,24,98,1,8,4,5,6,5,69,653
1991,170,93,3,22,0,12,3,7,46,77,0,11,2,4,2,5,53,691
1992,145,73,3,19,1,6,2,5,37,72,0,15,2,0,2,5,48,683
1993,141,61,5,17,0,7,0,3,29,80,1,11,3,2,3,5,55,676
1994,136,69,0,18,1,5,5,6,34,67,1,8,1,7,1,4,45,673
1995,134,68,4,25,3,7,2,7,20,66,2,6,0,1,3,8,46,669
1996,137,57,1,11,1,12,3,8,21,80,2,4,2,3,4,2,63,674
1997,129,54,5,12,3,6,1,4,23,75,4,7,1,1,4,5,53,653
1998,148,76,0,24,3,11,1,7,30,72,1,8,3,5,7,2,46,607
1999,135,60,1,16,3,2,2,5,31,75,1,4,4,4,2,2,58,637
2000,169,86,3,29,0,12,0,4,38,83,0,8,3,4,7,7,54,700
2001,76,74,3,16,,7,8,5,35,90,2,9,2,8,3,2,64,656
2002,185,77,4,28,2,10,3,3,27,108,0,15,3,4,4,3,79,728
2003,181,74,4,17,2,12,3,0,36,107,4,8,4,5,2,2,82,740
2004,248,117,5,28,5,16,7,8,48,131,5,13,3,5,7,1,97,1335
2005,249,131,5,32,2,15,3,7,67,118,4,12,1,4,9,4,84,805
2006,242,100,5,34,1,13,4,3,40,142,4,14,3,3,6,9,103,841
2007,245,115,2,39,3,10,5,5,51,130,2,13,3,3,3,2,104,896
2008,268,124,9,27,3,9,8,7,61,144,6,12,2,3,3,3,115,937
2009,247,113,3,36,4,19,1,9,41,134,2,14,4,5,5,4,100,972
2010,217,105,10,34,2,6,3,1,49,112,1,9,5,5,5,1,86,788
2011,262,101,3,35,1,20,3,4,35,161,5,17,2,7,5,18,107,1022
2012,259,115,7,35,-,17,5,3,48,144,3,17,3,5,4,5,107,1080
2013,308,139,12,45,7,14,5,8,48,169,5,25,3,8,5,2,121,1147
2014,323,152,6,36,6,23,9,8,64,171,3,13,6,12,8,4,125,1198
2015,284,142,5,38,2,25,4,15,53,142,1,18,5,5,9,3,101,1228
2016,307,150,9,42,7,25,6,7,54,157,1,22,6,4,2,5,117,1267
2017,298,144,7,33,2,22,4,9,67,154,2,18,2,6,4,8,114,1316
2018,350,184,7,58,5,19,6,6,83,166,3,16,2,7,8,8,122,1380
2019,318,156,6,38,4,23,6,11,68,162,5,22,5,6,3,5,116,1448
2020,289,139,6,37,2,12,4,11,67,150,1,11,5,3,6,6,118,1471
2021,332,159,3,56,7,14,4,8,67,173,7,16,4,8,3,12,123,1546
