Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,1465,820,35,191,24,128,50,66,326,645,14,77,21,44,52,28,409,3986
1991,844,455,23,113,13,62,24,28,192,389,11,44,14,21,32,21,246,2468
1992,836,494,22,131,16,57,26,33,209,342,8,48,5,9,30,26,216,2492
1993,794,452,16,112,7,62,43,31,181,341,10,55,13,17,23,17,206,2492
1994,809,474,20,113,10,69,28,30,204,335,9,46,17,14,27,22,200,2530
1995,759,439,20,104,11,70,25,37,172,320,10,35,6,20,29,23,197,2368
1996,799,416,18,96,13,64,23,21,181,383,9,43,9,19,29,34,240,2392
1997,750,401,14,103,10,52,23,29,170,349,8,42,11,13,23,26,226,2403
1998,868,483,25,130,17,60,35,41,175,385,12,54,18,18,34,26,223,2294
1999,914,506,20,128,11,75,28,41,203,408,7,63,8,17,30,20,263,2554
2000,385,382,15,112,12,50,26,31,136,330,3,53,14,17,20,16,207,1954
2001,407,397,10,103,20,53,16,35,160,338,10,33,20,20,23,24,208,1945
2002,708,374,8,88,17,48,12,32,169,334,6,35,17,12,15,21,228,1914
2003,604,330,14,78,13,53,18,26,128,274,7,40,6,17,15,14,175,1457
2004,653,366,8,94,13,64,14,23,150,287,4,33,6,10,22,19,193,1587
2005,659,324,7,99,16,45,15,18,124,335,5,42,10,16,15,15,232,1587
2006,640,341,7,98,16,50,17,22,131,299,3,36,8,17,14,22,199,1819
2007,743,384,7,109,9,66,18,22,153,359,3,47,9,23,17,15,245,1769
2008,682,381,18,96,7,53,28,16,163,301,11,41,3,13,28,8,207,1833
2009,657,358,13,95,10,71,15,19,135,299,14,35,7,15,17,13,198,2017
2010,608,314,9,87,2,66,11,21,118,294,5,38,8,17,11,18,197,2165
2011,874,443,24,126,15,70,19,35,154,431,14,50,9,16,23,19,300,2460
2012,867,420,18,105,12,76,28,16,165,447,21,46,10,26,24,18,302,2780
2013,915,438,9,100,16,85,19,29,180,477,13,40,14,36,29,14,331,3196
2014,878,430,11,114,16,72,22,15,180,448,14,40,14,17,17,26,320,3581
2015,952,476,4,104,15,85,19,31,218,476,11,36,9,29,23,22,346,3955
2016,922,446,10,103,14,71,14,36,198,476,10,49,11,21,24,15,346,3983
2017,951,451,10,83,10,89,15,33,211,500,10,40,9,31,15,19,376,4134
2018,959,447,14,82,13,81,17,23,217,512,6,37,18,19,20,28,384,4462
2019,994,497,17,106,19,65,9,42,239,497,4,49,15,17,12,28,372,4484
2020,1022,478,15,108,20,67,7,39,222,544,8,50,9,33,14,20,410,4653
2021,984,482,14,85,17,67,13,36,250,502,6,44,9,19,19,24,381,5017
