Наименование показателей,total, мужчины,"[0]Губы, полости рта и глотки",[0]Желудка,[0]Прямой кишки,"[0]Трахеи, бронхов и легкого",[0]Кожи,[0]Лимфатической и кроветворной ткани,[0]Прочих органов,женщины,"[1]Губы, полости рта и глотки",[1]Желудка,[1]Прямой кишки,"[1]Трахеи, бронхов и легкого",[1]Кожи,[1]Лимфатической и кроветворной ткани,[1]Прочих органов,Состоят на учете в леч.уч.
1990,195,97,4,20,5,20,7,7,34,98,0,14,2,2,12,9,59,701
1991,172,91,0,19,6,16,5,5,40,81,2,9,3,5,5,3,54,669
1992,156,77,4,10,2,17,3,4,37,79,3,12,2,5,7,5,45,626
1993,160,77,5,15,4,14,4,5,30,83,1,9,2,8,7,7,49,576
1994,101,49,5,12,3,11,1,2,15,52,2,7,1,5,1,2,34,539
1995,141,83,1,19,1,16,5,7,34,58,0,5,3,7,3,6,34,535
1996,136,66,3,22,3,10,2,2,24,70,0,9,3,2,5,4,47,501
1997,129,66,3,18,0,8,8,2,27,63,1,7,4,2,8,2,39,474
1998,122,52,4,21,4,4,0,3,16,70,3,13,2,5,5,3,39,474
1999,106,50,1,9,1,6,5,4,24,56,2,6,3,5,2,0,38,483
2000,68,66,3,20,1,14,3,3,22,65,2,4,4,4,2,1,48,517
2001,60,57,1,15,5,4,1,5,26,57,3,3,4,4,3,3,37,518
2002,123,54,4,10,0,10,4,0,26,69,2,9,0,3,2,2,51,565
2003,141,72,0,20,2,15,3,3,29,69,1,5,0,1,2,3,57,594
2004,130,58,6,9,1,16,2,4,20,72,2,2,1,3,5,3,56,628
2005,105,44,5,13,1,5,1,1,18,61,2,9,0,5,1,2,42,628
2006,161,76,8,16,3,14,4,2,29,85,2,9,3,2,8,,61,690
2007,130,58,3,10,1,10,2,6,26,72,2,5,2,6,1,4,52,713
2008,127,59,1,18,4,7,4,3,22,68,3,10,1,0,2,2,50,690
2009,140,64,4,21,1,11,1,-,26,76,1,6,-,5,6,3,55,708
2010,154,74,3,20,1,7,2,7,34,80,4,4,4,4,4,7,53,686
2011,172,86,1,22,,18,4,5,36,86,2,18,1,1,,1,63,724
2012,155,72,3,21,,7,2,2,37,83,4,9,3,4,5,3,55,750
2013,167,71,5,19,2,13,5,3,24,96,2,9,1,1,4,4,75,787
2014,211,99,3,29,2,19,2,5,39,112,4,6,3,9,3,1,86,849
2015,187,80,6,29,-,5,3,4,33,107,3,16,2,7,3,1,75,890
2016,215,110,4,27,3,16,12,5,43,105,3,13,6,7,7,2,67,953
2017,186,84,6,29,2,16,2,1,28,102,,5,2,3,8,2,82,912
2018,185,86,3,22,1,11,3,2,44,99,,11,3,5,3,2,75,893
2019,199,96,5,27,5,13,7,0,39,103,4,13,4,4,2,2,74,898
2020,183,103,4,24,3,17,3,3,49,80,1,6,3,4,4,8,54,859
2021,180,88,1,32,2,16,2,5,30,92,2,5,1,3,5,3,73,875
